机器人版本,加倍动作,局数,净赢银总计,平均净赢银,胜率,胜局数,负局数,胜局净赢银,负局净赢银,胜局平均净赢银,负局平均净赢银,标准差,变异系数
新版,不加倍,24,81775,3407.2916666666665,0.5,12,12,924110,-842335,77009.16666666667,-70194.58333333333,86233.48514881694,25.30851291435777
新版,加倍,12,-44006,-3667.1666666666665,0.5833333333333334,7,5,531706,-575712,75958.0,-115142.4,114015.981050372,31.09102787357324
新版,超级加倍,406,24688819,60809.899014778326,0.7512315270935961,305,101,37339542,-12650723,122424.72786885245,-125254.68316831683,126146.0087249952,2.074432136358894
新版,总计,442,24726588,55942.50678733032,0.7330316742081447,324,118,38795358,-14068770,119738.75925925926,-119226.86440677966,0,0
旧版,不加倍,149,2254477,15130.71812080537,0.6510067114093959,97,52,7024071,-4769594,72413.10309278351,-91722.96153846153,88357.5042024132,5.839610750590743
旧版,加倍,84,1377379,16397.369047619046,0.6309523809523809,53,31,5011187,-3633808,94550.69811320755,-117219.6129032258,116720.25099436456,7.11823040973227
旧版,超级加倍,221,19885088,89977.7737556561,0.8597285067873304,190,31,23806667,-3921579,125298.24736842106,-126502.54838709677,115098.19343287808,1.2791847211672414
旧版,总计,454,23516944,51799.436123348016,0.748898678414097,340,114,35841925,-12324981,105417.42647058824,-108113.86842105263,0,0
差值(新版-旧版),不加倍,,-2172702,-11723.426454138704,-0.15100671140939592,,,,,4596.0635738831625,21528.378205128203,,
差值(新版-旧版),加倍,,-1421385,-20064.535714285714,-0.04761904761904756,,,,,-18592.698113207545,2077.212903225809,,
差值(新版-旧版),超级加倍,,4803731,-29167.874740877778,-0.10849697969373429,,,,,-2873.5194995686034,1247.8652187799453,,
差值(新版-旧版),总计,,1209644,4143.070663982304,-0.015867004205952218,,,,,14321.332788671018,-11112.99598572703,,
